Problem,D_Num,MaOEACE vs NSGAIII,NSGAIII vs MaOEACE,MaOEACE vs MaOEACSS,MaOEACSS vs MaOEACE,MaOEACE vs NSGAIISDR,NSGAIISDR vs MaOEACE,MaOEACE vs SRA,SRA vs MaOEACE,
FT06,36,0.546825,0.393651,0.774603,0.617460,0.820635,0.482540,0.469841,0.488889,
FT06,36,leftGG0.373260rightGGFT06,36,.4FT06,36,htGG,leftGG0.235921rightGG,leftGG0.424596rightGG,leftGG0.198101rightGG,leftGG0.462812rightGG,leftGG0.331377rightGG,leftGG0.481075rightGG,
FT10,100,0.459524,0.324603,0.698413,0.295238,0.791270,0.191270,0.978571,0.000000,
FT10,100,leftGG0.454194rightGG,leftGG0.424814rightGG,leftGG0.314250rightGG,leftGG0.451151rightGG,leftGG0.264276rightGG,leftGG0.383037rightGG,leftGG0.064286rightGG,leftGG0.000000rightGG,
FT20,100,0.666667,0.353175,0.633333,0.378571,0.405556,0.262698,0.823016,0.006349,
FT20,100,leftGG0.342467rightGG,leftGG0.443355rightGG,leftGG0.364057rightGG,leftGG0.457546rightGG,leftGG0.384465rightGG,leftGG0.382857rightGG,leftGG0.319636rightGG,leftGG0.014108rightGG,
YN1,400,0.561905,0.597619,0.608730,0.705556,0.767460,0.498413,0.498413,0.503175,
YN1,400,leftGG0.468413rightGG,leftGG0.432668rightGG,leftGG0.352546rightGG,leftGG0.450000rightGG,leftGG0.261738rightGG,leftGG0.447577rightGG,leftGG0.498433rightGG,leftGG0.493855rightGG,
YN2,400,0.801587,0.209524,0.876190,0.377778,0.886508,0.343651,0.953968,0.088889,
YN2,400,leftGG0.376093rightGG,leftGG0.395589rightGG,leftGG0.189488rightGG,leftGG0.416862rightGG,leftGG0.296661rightGG,leftGG0.421488rightGG,leftGG0.138095rightGG,leftGG0.264032rightGG,
YN3,400,0.880159,0.350000,0.876190,0.200000,0.946032,0.408730,0.865873,0.200000,
YN3,400,leftGG0.297094rightGG,leftGG0.358032rightGG,leftGG0.282035rightGG,leftGG0.400000rightGG,leftGG0.136074rightGG,leftGG0.344873rightGG,leftGG0.306033rightGG,leftGG0.400000rightGG,
YN4,400,0.791270,0.330159,0.916667,0.243651,0.780159,0.538889,0.968254,0.162698,
